case,name,timestamp,resource,cost
ORD-1010,Stock Replenished,2025-02-13 4:03,Warehouse System,8.63
ORD-1010,Order Picked,2025-02-13 5:15,Picker A,14.2
ORD-1010,Quality Inspection,2025-02-13 6:53,QC Inspector A,8.41
ORD-1010,Order Packed,2025-02-13 7:50,Packer C,8.51
ORD-1010,Shipping Label Generated,2025-02-13 8:08,Shipping System,1.11
ORD-1010,Dispatched to Carrier,2025-02-13 11:44,Dispatch Team A,13.53
ORD-1010,In Transit,2025-02-15 1:44,Local Courier,16.23
ORD-1010,Delivered,2025-02-15 5:44,FedEx,40.11
ORD-1010,Delivery Confirmed,2025-02-16 8:44,System Auto,13.92
ORD-1011,Order Placed,2025-02-10 9:00,Web Portal,13.28
ORD-1011,Order Confirmed,2025-02-10 9:01,System Auto,11.18
ORD-1011,Payment Processed,2025-02-10 9:48,Finance Team,12.13
ORD-1011,Inventory Checked,2025-02-10 11:01,Inventory Clerk A,2.81
ORD-1011,Order Picked,2025-02-10 17:15,Picker A,6.05
ORD-1011,Quality Rejected,2025-02-10 17:29,QC Inspector B,3.73
ORD-1011,Order Picked,2025-02-11 0:42,Robot Picker,5.57
ORD-1011,Quality Inspection,2025-02-11 2:37,QC Inspector A,3.73
ORD-1011,Order Packed,2025-02-11 3:11,Packer B,5.26
ORD-1011,Shipping Label Generated,2025-02-11 3:18,Logistics Coord,5.59
ORD-1011,Dispatched to Carrier,2025-02-11 8:08,Dispatch Team B,10.35
ORD-1011,In Transit,2025-02-16 7:08,Local Courier,19.9
ORD-1011,Delivered,2025-02-16 8:08,DHL,44.47
ORD-1011,Delivery Confirmed,2025-02-17 1:08,System Auto,8.92
ORD-1012,Order Placed,2025-02-15 7:00,Customer Service,6.8
ORD-1012,Order Confirmed,2025-02-15 7:24,Sales Agent A,6.83
ORD-1012,Payment Processed,2025-02-15 8:34,Payment Gateway,6.09
ORD-1012,Inventory Checked,2025-02-15 11:11,Warehouse System,4.19
ORD-1012,Order Picked,2025-02-15 17:28,Robot Picker,0.52
ORD-1012,Quality Inspection,2025-02-15 19:21,QC Inspector A,5.78
ORD-1012,Order Packed,2025-02-15 19:39,Packer C,13.85
ORD-1012,Shipping Label Generated,2025-02-15 20:03,Logistics Coord,10.12
ORD-1012,Dispatched to Carrier,2025-02-15 21:36,Dispatch Team B,7.85
ORD-1012,In Transit,2025-02-19 22:36,FedEx,19.68
ORD-1012,Delivered,2025-02-20 21:36,FedEx,29.95
ORD-1012,Delivery Confirmed,2025-02-21 10:36,Customer Service,10.14
ORD-1013,Order Placed,2025-03-06 16:00,Web Portal,9.42
ORD-1013,Order Confirmed,2025-03-06 16:10,Sales Agent A,8.45
ORD-1013,Payment Failed,2025-03-06 16:15,Payment Gateway,4.66
ORD-1013,Payment Retry,2025-03-07 6:15,Finance Team,7.24
ORD-1013,Payment Processed,2025-03-07 7:16,Payment Gateway,7.91
ORD-1013,Inventory Checked,2025-03-07 8:09,Inventory Clerk B,1.73
ORD-1013,Order Picked,2025-03-07 12:47,Picker C,1.85
ORD-1013,Quality Inspection,2025-03-07 14:33,QC Inspector A,10.26
ORD-1013,Order Packed,2025-03-07 15:11,Packer A,2.64
ORD-1013,Shipping Label Generated,2025-03-07 15:17,Shipping System,14.77
ORD-1013,Dispatched to Carrier,2025-03-07 20:59,Dispatch Team A,7.1
ORD-1013,In Transit,2025-03-11 16:59,Local Courier,13.75
ORD-1013,Delivered,2025-03-12 15:59,FedEx,27.25
ORD-1013,Delivery Confirmed,2025-03-13 7:59,System Auto,10.01
ORD-1014,Order Placed,2025-01-01 22:00,Web Portal,11.79
ORD-1014,Order Confirmed,2025-01-01 22:08,System Auto,12.16
ORD-1014,Payment Processed,2025-01-01 23:42,Finance Team,1.23
ORD-1014,Inventory Checked,2025-01-02 0:55,Warehouse System,7.12
ORD-1014,Order Picked,2025-01-02 8:00,Robot Picker,10.18
ORD-1014,Quality Inspection,2025-01-02 9:21,QC Inspector B,14.28
ORD-1014,Order Packed,2025-01-02 10:27,Packer C,12.32
ORD-1014,Shipping Label Generated,2025-01-02 10:48,Logistics Coord,12.54
ORD-1014,Dispatched to Carrier,2025-01-02 15:58,Dispatch Team B,13.51
ORD-1014,In Transit,2025-01-07 2:58,FedEx,25.25
ORD-1014,Delivery Failed,2025-01-07 10:58,Local Courier,4.52
ORD-1014,Rescheduled Delivery,2025-01-09 23:58,Logistics Coord,9.59
ORD-1014,In Transit,2025-01-11 22:58,FedEx,8.49
ORD-1014,Delivered,2025-01-12 8:58,DHL,17.23
ORD-1014,Delivery Confirmed,2025-01-13 5:58,System Auto,2.51
ORD-1015,Order Placed,2025-02-09 11:00,Web Portal,10.74
ORD-1015,Order Confirmed,2025-02-09 11:03,Sales Agent A,6.41
ORD-1015,Payment Processed,2025-02-09 12:17,Finance Team,6.53
ORD-1015,Inventory Checked,2025-02-09 13:19,Inventory Clerk A,6.15
ORD-1015,Order Picked,2025-02-09 20:08,Picker A,12.92
ORD-1015,Quality Inspection,2025-02-09 21:55,QC Inspector B,7.42
ORD-1015,Order Packed,2025-02-09 22:50,Packer B,11.43
ORD-1015,Shipping Label Generated,2025-02-09 23:08,Shipping System,7.58
ORD-1015,Dispatched to Carrier,2025-02-10 1:57,Dispatch Team B,7.54
ORD-1015,In Transit,2025-02-12 14:57,FedEx,35.1
ORD-1015,Delivered,2025-02-13 3:57,Local Courier,12.43
ORD-1015,Delivery Confirmed,2025-02-14 9:57,System Auto,14.72
ORD-1016,Order Placed,2025-01-05 14:00,Customer Service,8.68
ORD-1016,Order Confirmed,2025-01-05 14:01,System Auto,9.82
ORD-1016,Payment Processed,2025-01-05 14:23,Finance Team,3.14
ORD-1016,Inventory Checked,2025-01-05 15:39,Inventory Clerk A,5.25
ORD-1016,Order Picked,2025-01-05 19:46,Picker C,5.39
ORD-1016,Quality Inspection,2025-01-05 20:44,QC Inspector B,11.4
ORD-1016,Order Packed,2025-01-05 21:47,Packer B,12.61
ORD-1016,Shipping Label Generated,2025-01-05 22:07,Shipping System,11.36
ORD-1016,Dispatched to Carrier,2025-01-05 23:03,Dispatch Team B,3.75
ORD-1016,In Transit,2025-01-06 19:03,Local Courier,6.81
ORD-1016,Delivery Failed,2025-01-06 20:03,DHL,3.39
ORD-1016,Rescheduled Delivery,2025-01-07 9:03,Customer Service,3.96
ORD-1016,In Transit,2025-01-10 9:03,Local Courier,10.15
ORD-1016,Delivered,2025-01-10 16:03,FedEx,36.48
ORD-1016,Delivery Confirmed,2025-01-11 16:03,System Auto,9.29
ORD-1017,Order Placed,2025-01-20 13:00,Web Portal,14.49
ORD-1017,Order Confirmed,2025-01-20 13:04,Sales Agent B,0.87
ORD-1017,Payment Processed,2025-01-20 13:48,Finance Team,6.25
ORD-1017,Inventory Checked,2025-01-20 14:48,Warehouse System,9.09
ORD-1017,Out of Stock,2025-01-20 20:48,Warehouse System,1.98
ORD-1017,Backorder Placed,2025-01-20 23:48,Procurement Team,12.05
ORD-1017,Stock Replenished,2025-01-27 23:48,Procurement Team,5.53
ORD-1017,Order Picked,2025-01-28 3:42,Picker C,1.5
ORD-1017,Quality Inspection,2025-01-28 5:14,QC Inspector B,0.68
ORD-1017,Order Packed,2025-01-28 6:17,Packer B,2.03
ORD-1017,Shipping Label Generated,2025-01-28 6:33,Logistics Coord,10.76
ORD-1017,Dispatched to Carrier,2025-01-28 10:45,Dispatch Team A,11.14
ORD-1017,In Transit,2025-02-01 9:45,FedEx,32.72
ORD-1017,Delivered,2025-02-02 3:45,FedEx,25.92
ORD-1017,Delivery Confirmed,2025-02-04 2:45,Customer Service,5.17
ORD-1018,Order Placed,2025-02-11 21:00,Web Portal,4.54
ORD-1018,Order Confirmed,2025-02-11 21:15,System Auto,11.38
ORD-1018,Payment Processed,2025-02-11 22:32,Finance Team,5.38
ORD-1018,Inventory Checked,2025-02-12 0:48,Inventory Clerk A,3.14
ORD-1018,Order Picked,2025-02-12 2:51,Picker C,12.07
ORD-1018,Quality Rejected,2025-02-12 3:44,QC Inspector B,13.26
ORD-1018,Order Picked,2025-02-12 9:58,Picker C,8.56
ORD-1018,Quality Inspection,2025-02-12 11:14,QC Inspector A,1.74
ORD-1018,Order Packed,2025-02-12 12:16,Packer B,8.55
ORD-1018,Shipping Label Generated,2025-02-12 12:28,Logistics Coord,9.87
ORD-1018,Dispatched to Carrier,2025-02-12 17:09,Dispatch Team B,12
ORD-1018,In Transit,2025-02-13 16:09,FedEx,14.97
ORD-1018,Delivered,2025-02-14 15:09,DHL,18.78
ORD-1018,Delivery Confirmed,2025-02-16 5:09,Customer Service,7.36
ORD-1019,Order Placed,2025-02-28 16:00,Customer Service,8.48
ORD-1019,Order Confirmed,2025-02-28 16:12,Sales Agent B,7.08
ORD-1019,Payment Processed,2025-02-28 16:56,Finance Team,3.84
ORD-1019,Inventory Checked,2025-02-28 17:55,Inventory Clerk A,2.23
ORD-1019,Order Picked,2025-02-28 22:44,Picker B,3.28
ORD-1019,Quality Inspection,2025-03-01 0:28,QC Inspector B,4.51
ORD-1019,Order Packed,2025-03-01 1:53,Packer C,9.15
ORD-1019,Shipping Label Generated,2025-03-01 2:01,Shipping System,4.8
ORD-1019,Dispatched to Carrier,2025-03-01 5:35,Dispatch Team A,4.88
ORD-1019,In Transit,2025-03-05 11:35,Local Courier,10.7
ORD-1019,Delivered,2025-03-05 13:35,DHL,29.9
ORD-1019,Delivery Confirmed,2025-03-07 10:35,System Auto,9.75
ORD-1020,Order Placed,2025-03-25 18:00,Web Portal,8.82
ORD-1020,Order Confirmed,2025-03-25 18:16,Sales Agent A,6.89
ORD-1020,Payment Processed,2025-03-25 18:44,Payment Gateway,4.16
ORD-1020,Inventory Checked,2025-03-25 20:56,Warehouse System,12.42
ORD-1020,Order Picked,2025-03-26 0:36,Robot Picker,1.57
ORD-1020,Quality Inspection,2025-03-26 2:06,QC Inspector A,2.7
ORD-1020,Order Packed,2025-03-26 3:28,Packer B,1.74
ORD-1020,Shipping Label Generated,2025-03-26 3:40,Shipping System,8.59
ORD-1020,Dispatched to Carrier,2025-03-26 7:43,Dispatch Team A,11.75
ORD-1020,In Transit,2025-03-28 19:43,FedEx,45.88
ORD-1020,Delivered,2025-03-29 5:43,Local Courier,49.55
ORD-1020,Delivery Confirmed,2025-03-30 1:43,System Auto,9.34
ORD-1021,Order Placed,2025-01-17 22:00,Customer Service,3.56
ORD-1021,Order Confirmed,2025-01-17 22:22,System Auto,2.78
ORD-1021,Order Cancelled,2025-01-18 1:22,Customer Service,2.77
ORD-1021,Refund Initiated,2025-01-18 8:22,Finance Team,10.5
ORD-1022,Order Placed,2025-03-22 4:00,Web Portal,4.68
ORD-1022,Order Confirmed,2025-03-22 4:10,Sales Agent B,12.96
ORD-1022,Payment Processed,2025-03-22 4:24,Payment Gateway,13.9
ORD-1022,Inventory Checked,2025-03-22 7:14,Inventory Clerk B,10.09
ORD-1022,Order Picked,2025-03-22 9:10,Robot Picker,2.16
ORD-1022,Quality Inspection,2025-03-22 9:48,QC Inspector A,13.67
ORD-1022,Order Packed,2025-03-22 10:16,Packer A,1.36
ORD-1022,Shipping Label Generated,2025-03-22 10:46,Logistics Coord,9.13
ORD-1022,Dispatched to Carrier,2025-03-22 16:07,Dispatch Team B,6.87
ORD-1022,In Transit,2025-03-25 15:07,Local Courier,18.68
ORD-1022,Delivered,2025-03-26 4:07,FedEx,27.52
ORD-1022,Delivery Confirmed,2025-03-27 12:07,Customer Service,1.67
ORD-1023,Order Placed,2025-01-07 19:00,Customer Service,5.17
ORD-1023,Order Confirmed,2025-01-07 19:09,System Auto,1.82
ORD-1023,Payment Processed,2025-01-07 20:40,Payment Gateway,14.99
ORD-1023,Inventory Checked,2025-01-07 21:58,Inventory Clerk B,1.08
ORD-1023,Order Picked,2025-01-08 4:40,Picker B,7.32
ORD-1023,Quality Inspection,2025-01-08 6:13,QC Inspector B,13.78
ORD-1023,Order Packed,2025-01-08 6:46,Packer C,6.82
ORD-1023,Shipping Label Generated,2025-01-08 7:06,Shipping System,7.32
ORD-1023,Dispatched to Carrier,2025-01-08 11:05,Dispatch Team B,5.16
ORD-1023,In Transit,2025-01-09 12:05,DHL,19.84
ORD-1023,Delivery Failed,2025-01-10 11:05,FedEx,4.68
ORD-1023,Rescheduled Delivery,2025-01-13 11:05,Logistics Coord,12.3
ORD-1023,In Transit,2025-01-16 21:05,DHL,25.47
ORD-1023,Delivered,2025-01-17 8:05,FedEx,19.55
ORD-1023,Delivery Confirmed,2025-01-18 10:05,System Auto,10.04
ORD-1024,Order Placed,2025-03-20 20:00,Web Portal,8.02
ORD-1024,Order Confirmed,2025-03-20 20:20,Sales Agent A,9.57
ORD-1024,Payment Processed,2025-03-20 22:02,Payment Gateway,3.45
ORD-1024,Inventory Checked,2025-03-21 0:32,Warehouse System,13.95
ORD-1024,Order Picked,2025-03-21 4:31,Robot Picker,2.26
ORD-1024,Quality Inspection,2025-03-21 6:01,QC Inspector A,10.79
ORD-1024,Order Packed,2025-03-21 6:50,Packer C,0.7
ORD-1024,Shipping Label Generated,2025-03-21 7:08,Shipping System,3.76
ORD-1024,Dispatched to Carrier,2025-03-21 8:36,Dispatch Team B,14.23
ORD-1024,In Transit,2025-03-25 6:36,DHL,27.43
ORD-1024,Delivered,2025-03-26 5:36,FedEx,27.9
ORD-1024,Delivery Confirmed,2025-03-26 23:36,Customer Service,12.6
ORD-1025,Order Placed,2025-03-22 14:00,Customer Service,2.6
ORD-1025,Order Confirmed,2025-03-22 14:07,Sales Agent B,7.87
ORD-1025,Payment Processed,2025-03-22 16:04,Payment Gateway,13.03
ORD-1025,Inventory Checked,2025-03-22 17:24,Inventory Clerk A,5.43
ORD-1025,Order Picked,2025-03-23 0:22,Picker C,12.4
ORD-1025,Quality Inspection,2025-03-23 1:08,QC Inspector B,12.64
ORD-1025,Order Packed,2025-03-23 2:32,Packer C,7.6
ORD-1025,Shipping Label Generated,2025-03-23 2:41,Logistics Coord,8.31
ORD-1025,Dispatched to Carrier,2025-03-23 6:07,Dispatch Team B,8.5
ORD-1025,In Transit,2025-03-26 15:07,FedEx,25.49
ORD-1025,Delivered,2025-03-27 2:07,DHL,49.13
ORD-1025,Delivery Confirmed,2025-03-27 18:07,Customer Service,3.89
ORD-1026,Order Placed,2025-03-12 2:00,Customer Service,7.36
ORD-1026,Order Confirmed,2025-03-12 2:30,Sales Agent A,6.1
ORD-1026,Payment Processed,2025-03-12 3:59,Payment Gateway,7.68
ORD-1026,Inventory Checked,2025-03-12 4:18,Warehouse System,7.78
ORD-1026,Order Picked,2025-03-12 9:35,Picker C,13.11
ORD-1026,Quality Inspection,2025-03-12 11:33,QC Inspector B,1.95
ORD-1026,Order Packed,2025-03-12 12:41,Packer A,10.98
ORD-1026,Shipping Label Generated,2025-03-12 12:59,Shipping System,1.59
ORD-1026,Dispatched to Carrier,2025-03-12 15:44,Dispatch Team B,9.54
ORD-1026,In Transit,2025-03-15 5:44,Local Courier,8.61
ORD-1026,Delivered,2025-03-15 16:44,Local Courier,43.67
ORD-1026,Delivery Confirmed,2025-03-16 17:44,Customer Service,9.59
ORD-1027,Order Placed,2025-03-25 6:00,Web Portal,9.45
ORD-1027,Order Confirmed,2025-03-25 6:08,Sales Agent B,10.42
ORD-1027,Payment Processed,2025-03-25 6:49,Payment Gateway,11.33
ORD-1027,Inventory Checked,2025-03-25 8:50,Warehouse System,11.53
ORD-1027,Order Picked,2025-03-25 15:05,Picker A,6.93
ORD-1027,Quality Inspection,2025-03-25 16:43,QC Inspector B,13.6
ORD-1027,Order Packed,2025-03-25 16:58,Packer B,12.04
ORD-1027,Shipping Label Generated,2025-03-25 17:12,Logistics Coord,5.94
ORD-1027,Dispatched to Carrier,2025-03-25 18:56,Dispatch Team A,8.2
ORD-1027,In Transit,2025-03-29 6:56,Local Courier,40.66
ORD-1027,Delivery Failed,2025-03-29 12:56,DHL,1.65
ORD-1027,Rescheduled Delivery,2025-04-01 7:56,Logistics Coord,9.49
ORD-1027,In Transit,2025-04-03 1:56,FedEx,46.08
ORD-1027,Delivered,2025-04-03 6:56,DHL,25.75
ORD-1027,Delivery Confirmed,2025-04-03 23:56,Customer Service,4.2
ORD-1028,Order Placed,2025-01-02 14:00,Mobile App,13.57
ORD-1028,Order Confirmed,2025-01-02 14:22,Sales Agent B,2.79
ORD-1028,Payment Processed,2025-01-02 15:23,Finance Team,14.82
ORD-1028,Inventory Checked,2025-01-02 16:49,Inventory Clerk B,14.45
ORD-1028,Order Picked,2025-01-02 22:57,Picker C,7.12
ORD-1028,Quality Inspection,2025-01-02 23:45,QC Inspector A,14.99
ORD-1028,Order Packed,2025-01-03 0:56,Packer A,3.94
ORD-1028,Shipping Label Generated,2025-01-03 1:19,Logistics Coord,8.83
ORD-1028,Dispatched to Carrier,2025-01-03 4:20,Dispatch Team A,14.68
ORD-1028,In Transit,2025-01-07 4:20,FedEx,17.35
ORD-1028,Delivery Failed,2025-01-07 23:20,Local Courier,11.79
ORD-1028,Rescheduled Delivery,2025-01-08 14:20,Logistics Coord,12.58
ORD-1028,In Transit,2025-01-10 14:20,DHL,32.32
ORD-1028,Delivered,2025-01-11 2:20,DHL,33.65
ORD-1028,Delivery Confirmed,2025-01-12 18:20,Customer Service,10.33
ORD-1029,Order Placed,2025-01-24 8:00,Customer Service,9.87
ORD-1029,Order Confirmed,2025-01-24 8:10,Sales Agent A,0.98
ORD-1029,Payment Failed,2025-01-24 9:01,Payment Gateway,1.81
ORD-1029,Payment Retry,2025-01-24 19:01,Finance Team,11.34
ORD-1029,Payment Processed,2025-01-24 19:28,Payment Gateway,2.42
ORD-1029,Inventory Checked,2025-01-24 21:56,Inventory Clerk A,8.2
ORD-1029,Order Picked,2025-01-25 0:30,Picker B,4.23
ORD-1029,Quality Inspection,2025-01-25 2:25,QC Inspector B,14.53
ORD-1029,Order Packed,2025-01-25 3:12,Packer C,13.12
ORD-1029,Shipping Label Generated,2025-01-25 3:42,Shipping System,7.29
ORD-1029,Dispatched to Carrier,2025-01-25 4:50,Dispatch Team A,11.44
ORD-1029,In Transit,2025-01-26 20:50,Local Courier,37.59
ORD-1029,Delivered,2025-01-27 9:50,Local Courier,21.46
ORD-1029,Delivery Confirmed,2025-01-28 11:50,System Auto,4.33
ORD-1030,Order Placed,2025-01-22 2:00,Customer Service,11.36
ORD-1030,Order Confirmed,2025-01-22 2:09,Sales Agent B,6.02
ORD-1030,Payment Processed,2025-01-22 3:35,Finance Team,2.07
ORD-1030,Inventory Checked,2025-01-22 4:44,Inventory Clerk A,0.86
ORD-1030,Order Picked,2025-01-22 12:31,Picker C,13.77
ORD-1030,Quality Inspection,2025-01-22 13:09,QC Inspector A,9.71
ORD-1030,Order Packed,2025-01-22 14:18,Packer C,4.88
ORD-1030,Shipping Label Generated,2025-01-22 14:36,Shipping System,2.53
ORD-1030,Dispatched to Carrier,2025-01-22 15:25,Dispatch Team B,14.94
ORD-1030,In Transit,2025-01-23 17:25,DHL,15.57
ORD-1030,Delivered,2025-01-24 11:25,DHL,22.49
ORD-1030,Delivery Confirmed,2025-01-25 11:25,Customer Service,9.02
ORD-1031,Order Placed,2025-01-27 8:00,Customer Service,1.94
ORD-1031,Order Confirmed,2025-01-27 8:16,Sales Agent B,6.42
ORD-1031,Payment Processed,2025-01-27 8:56,Payment Gateway,10.51
ORD-1031,Inventory Checked,2025-01-27 10:01,Inventory Clerk A,6.95
ORD-1031,Order Picked,2025-01-27 12:16,Picker C,1.94
ORD-1031,Quality Inspection,2025-01-27 13:53,QC Inspector B,8.39
ORD-1031,Order Packed,2025-01-27 14:48,Packer A,6.27
ORD-1031,Shipping Label Generated,2025-01-27 14:59,Shipping System,14.26
